Track,Frequency,Note,Key,Channel,Port
0,0, Header,1,9,480,0
1,0, Start_track,0,0,0,0
1,0, Tempo,375000,0,0,0
1,0, Time_signature,4,2,24,8
1,0, Key_signature,0," ""major""",0,0
1,0,0,0,0,0,0
2,0, Start_track,0,0,0,0
2,0, Flute,0,0,0,0
2,0, MIDI_port,0,0,0,0
2,0, Channel_prefix,1,0,0,0
2,0, Control_c,1,7,100,0
2,0, Control_c,1,10,20,0
2,0, Program_c,1,73,0,0
2,0, Control_c,1,121,0,0
2,17, Control_c,1,91,90,0
2,17, Control_c,1,93,75,0
2,21, Control_c,1,11,127,0
2,4200, Note_on_c,1,72,88,0
2,4440, Note_on_c,1,74,88,0
2,4480, Note_off_c,1,72,64,0
2,4680, Note_on_c,1,77,88,0
2,4840, Note_off_c,1,74,64,0
2,4940, Note_off_c,1,77,64,0
2,6120, Note_on_c,1,72,88,0
2,6360, Note_off_c,1,72,64,0
2,6360, Note_on_c,1,74,88,0
2,6600, Note_on_c,1,72,88,0
2,6720, Note_off_c,1,74,64,0
2,6900, Note_off_c,1,72,64,0
2,7080, Note_on_c,1,65,88,0
2,7200, Note_on_c,1,67,88,0
2,7360, Note_off_c,1,65,64,0
2,7560, Note_on_c,1,70,88,0
2,7660, Note_off_c,1,67,64,0
2,8100, Note_off_c,1,70,64,0
2,8640, Note_on_c,1,74,88,0
2,10820, Note_off_c,1,74,64,0
2,10920, Note_on_c,1,72,88,0
2,11160, Note_off_c,1,72,64,0
2,11160, Note_on_c,1,74,88,0
2,11400, Note_on_c,1,72,88,0
2,11480, Note_off_c,1,74,64,0
2,11720, Note_off_c,1,72,64,0
2,11880, Note_on_c,1,65,88,0
2,12120, Note_on_c,1,67,88,0
2,12140, Note_off_c,1,65,64,0
2,12360, Note_on_c,1,70,88,0
2,12580, Note_off_c,1,67,64,0
2,13540, Note_off_c,1,70,64,0
2,13800, Note_on_c,1,72,88,0
2,14020, Note_off_c,1,72,64,0
2,14040, Note_on_c,1,74,88,0
2,14280, Note_on_c,1,72,88,0
2,14400, Note_off_c,1,74,64,0
2,14600, Note_off_c,1,72,64,0
